Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
62	Spectrogram 1	1	228.781610066	233.234735040	0.000	23874.126	4.4531	23874.126	-73.10	background_noise
63	Spectrogram 1	1	233.297836001	237.687860014	0.000	23202.797	4.3900	23202.797	-70.94	wren
65	Spectrogram 1	1	237.710629171	242.298970491	0.000	23790.210	4.5883	23790.210	-73.96	wren
66	Spectrogram 1	1	242.416157990	245.237672397	0.000	23706.294	2.8215	23706.294	-71.87	yellowhammer
67	Spectrogram 1	1	245.319113565	252.539666407	0.000	23580.420	7.2206	23580.420	-75.86	wren
68	Spectrogram 1	1	252.544406718	255.420007663	83.916	23748.252	2.8756	23664.336	-75.75	blackcap
69	Spectrogram 1	1	255.483108624	257.980103802	0.000	23748.252	2.4970	23748.252	-71.98	common_whitethroat
70	Spectrogram 1	1	258.043204763	260.621641109	0.000	24000.000	2.5784	24000.000	-71.86	yellowhammer
71	Spectrogram 1	1	260.693756493	263.785703590	0.000	23916.084	3.0919	23916.084	-76.44	background
72	Spectrogram 1	1	263.857818975	267.166112225	0.000	23790.210	3.3083	23790.210	-74.57	common_whitethroat
73	Spectrogram 1	1	267.224937391	271.542846020	0.000	23790.210	4.3179	23790.210	-76.06	common_whitethroat
74	Spectrogram 1	1	271.605946981	273.589120046	0.000	23748.252	1.9832	23748.252	-75.16	yellowhammer
75	Spectrogram 1	1	273.674990164	280.012129551	167.832	23874.126	6.3371	23706.294	-75.38	wren_and_carrion_crow
76	Spectrogram 1	1	280.075230512	283.744100683	0.000	23790.210	3.6689	23790.210	-74.34	wren
77	Spectrogram 1	1	283.780469735	287.404267791	0.000	23748.252	3.6238	23748.252	-70.20	yellowhammer
78	Spectrogram 1	1	287.467368752	293.191527373	0.000	23622.378	5.7242	23622.378	-75.68	eurasian_skylark
79	Spectrogram 1	1	293.236910849	300.105901193	0.000	23748.252	6.8690	23748.252	-76.76	wren
80	Spectrogram 1	1	300.119655927	301.967612647	0.000	23874.126	1.8480	23874.126	-69.88	yellowhammer
81	Spectrogram 1	1	301.985641493	304.374463595	0.000	23916.084	2.3888	23916.084	-75.75	blackcap
82	Spectrogram 1	1	304.428550133	311.333598170	41.958	23832.168	6.9050	23790.210	-76.62	wren
83	Spectrogram 1	1	311.401594168	314.601714342	125.874	23748.252	3.2001	23622.378	-68.56	yellowhammer
84	Spectrogram 1	1	314.691858572	320.569262384	0.000	23874.126	5.8774	23874.126	-76.55	wren
85	Spectrogram 1	1	320.623660282	324.833395835	0.000	23790.210	4.2097	23790.210	-75.90	blackcap
86	Spectrogram 1	1	324.905511219	327.690967934	0.000	23748.252	2.7855	23748.252	-69.88	yellowhammer
87	Spectrogram 1	1	327.758809206	330.318905345	0.000	23748.252	2.5601	23748.252	-76.77	background_noise
88	Spectrogram 1	1	330.372991883	334.294265899	0.000	23748.252	3.9213	23748.252	-76.61	wren
89	Spectrogram 1	1	334.348352437	338.404842798	0.000	23790.210	4.0565	23790.210	-75.74	blackcap
90	Spectrogram 1	1	338.463669647	340.969679248	0.000	23832.168	2.5060	23832.168	-76.89	background_noise
91	Spectrogram 1	1	341.014751363	343.358501350	0.000	23790.210	2.3437	23790.210	-71.13	yellowhammer
92	Spectrogram 1	1	343.403884825	349.939341518	0.000	23790.210	6.5355	23790.210	-76.02	blackcap
93	Spectrogram 1	1	350.002597318	354.059087679	0.000	23748.252	4.0565	23748.252	-76.78	background_noise
94	Spectrogram 1	1	354.140217486	356.078318436	0.000	23748.252	1.9381	23748.252	-70.72	yellowhammer
95	Spectrogram 1	1	356.150588659	358.972103066	0.000	23706.294	2.8215	23706.294	-75.83	blackcap
96	Spectrogram 1	1	358.990286751	365.507714598	125.874	23748.252	6.5174	23622.378	-76.71	background_noise
97	Spectrogram 1	1	365.539499860	368.739620034	0.000	23706.294	3.2001	23706.294	-71.72	yellowhammer_and_blackcap
98	Spectrogram 1	1	368.784848671	374.049271717	0.000	23790.210	5.2644	23790.210	-76.45	background_noise
99	Spectrogram 1	1	374.094343832	378.962132266	0.000	23874.126	4.8678	23874.126	-76.22	wren
100	Spectrogram 1	1	379.025542904	382.405951539	0.000	23832.168	3.3804	23832.168	-72.30	yellowhammer
101	Spectrogram 1	1	382.451023654	388.445614965	41.958	23832.168	5.9946	23790.210	-76.12	blackcap
102	Spectrogram 1	1	388.486412968	393.020667750	0.000	23874.126	4.5343	23874.126	-76.57	background_noise
103	Spectrogram 1	1	393.079494599	396.396802272	0.000	23916.084	3.3173	23916.084	-72.38	yellowhammer
104	Spectrogram 1	1	396.460056389	400.101883291	0.000	23874.126	3.6418	23874.126	-76.64	wren
105	Spectrogram 1	1	400.137940983	403.626522693	0.000	23790.210	3.4886	23790.210	-76.39	background_noise
106	Spectrogram 1	1	403.671594808	405.984029097	0.000	23706.294	2.3124	23706.294	-75.62	blackcap
107	Spectrogram 1	1	406.056144481	411.618043487	0.000	23706.294	5.5619	23706.294	-74.71	wren
108	Spectrogram 1	1	411.663115602	416.251456922	41.958	23832.168	4.5883	23790.210	-73.81	yellowhammer_blackcap
109	Spectrogram 1	1	416.296840397	418.252970194	0.000	23874.126	1.9561	23874.126	-74.22	blackcap
110	Spectrogram 1	1	418.334100001	423.463306702	83.916	23832.168	5.1292	23748.252	-75.57	wren
111	Spectrogram 1	1	423.495090282	425.793768153	0.000	23916.084	2.2987	23916.084	-74.40	blackcap
112	Spectrogram 1	1	425.829825845	427.939200833	0.000	23832.168	2.1094	23832.168	-70.86	yellowhammer
113	Spectrogram 1	1	428.002301794	430.526340241	0.000	23706.294	2.5240	23706.294	-73.57	wren_and_carrion_crow
114	Spectrogram 1	1	430.567138244	433.316537267	0.000	23874.126	2.7494	23874.126	-74.64	carrion_crow
115	Spectrogram 1	1	433.361609382	435.407883408	0.000	23916.084	2.0463	23916.084	-75.17	background_noise
116	Spectrogram 1	1	435.425912255	436.174109366	0.000	23832.168	0.7482	23832.168	-74.65	blackcap
117	Spectrogram 1	1	436.192449572	439.041007248	0.000	23790.210	2.8486	23790.210	-75.96	background_noise
118	Spectrogram 1	1	439.077064940	442.322257229	0.000	23958.042	3.2452	23958.042	-74.48	wren
119	Spectrogram 1	1	442.403387036	444.242329333	0.000	23874.126	1.8389	23874.126	-70.61	yellowhammer
120	Spectrogram 1	1	444.283125653	454.965216937	0.000	23874.126	10.6821	23874.126	-75.40	wren
121	Spectrogram 1	1	455.046658105	458.012403280	0.000	23832.168	2.9657	23832.168	-71.43	yellowhammer
122	Spectrogram 1	1	458.048460972	461.122379223	0.000	23664.336	3.0739	23664.336	-74.89	blackcap
123	Spectrogram 1	1	461.199234919	467.617504112	0.000	23790.210	6.4183	23790.210	-74.72	wren
124	Spectrogram 1	1	467.676330961	470.371643446	0.000	23832.168	2.6953	23832.168	-73.25	yellowhammer
125	Spectrogram 1	1	470.416715561	472.183542474	0.000	23832.168	1.7668	23832.168	-73.31	blackcap
126	Spectrogram 1	1	472.228614589	477.222604945	0.000	23832.168	4.9940	23832.168	-75.69	wren
127	Spectrogram 1	1	477.240945151	478.665223989	0.000	23832.168	1.4243	23832.168	-73.37	blackcap
128	Spectrogram 1	1	478.710296104	480.963901860	0.000	23790.210	2.2536	23790.210	-70.98	yellowhammer
129	Spectrogram 1	1	481.027002821	484.317267225	0.000	23664.336	3.2903	23664.336	-76.44	background_noise
130	Spectrogram 1	1	484.376094074	489.415156545	41.958	23874.126	5.0391	23832.168	-75.51	blackcap_and_wren
131	Spectrogram 1	1	489.460383499	492.633460404	0.000	23874.126	3.1731	23874.126	-74.20	yellowhammer
132	Spectrogram 1	1	492.705730626	497.907052712	0.000	23790.210	5.2013	23790.210	-75.26	blackcap
133	Spectrogram 1	1	497.997196942	501.999600765	0.000	23832.168	4.0024	23832.168	-75.95	wren
134	Spectrogram 1	1	502.044984240	505.335248644	0.000	23916.084	3.2903	23916.084	-70.01	yellowhammer
135	Spectrogram 1	1	505.362446752	510.040932302	293.706	23874.126	4.6785	23580.420	-72.89	wren
136	Spectrogram 1	1	510.067975571	513.745860165	83.916	23832.168	3.6779	23748.252	-71.84	common_whitethroat
137	Spectrogram 1	1	513.750445637	515.877849471	0.000	23958.042	2.1274	23958.042	-73.18	yellowhammer
138	Spectrogram 1	1	515.909634734	521.002783743	0.000	23748.252	5.0931	23748.252	-76.26	background_noise
139	Spectrogram 1	1	521.084068389	525.600294324	83.916	23706.294	4.5162	23622.378	-74.75	common_whitethroat_and_wren
140	Spectrogram 1	1	525.609308747	528.034188541	125.874	23874.126	2.4249	23748.252	-72.45	yellowhammer
141	Spectrogram 1	1	528.121463509	530.203795228	0.000	23790.210	2.0823	23790.210	-76.25	wren
142	Spectrogram 1	1	530.275910612	534.467617319	0.000	23874.126	4.1917	23874.126	-73.68	common_whitethroat
143	Spectrogram 1	1	534.539732703	539.578795174	0.000	23748.252	5.0391	23748.252	-76.06	wren
144	Spectrogram 1	1	539.633038233	544.347581475	0.000	23664.336	4.7145	23664.336	-73.88	yellowhammer_and_wren
145	Spectrogram 1	1	544.406563163	547.489495837	0.000	23748.252	3.0829	23748.252	-76.66	wren
146	Spectrogram 1	1	547.516539106	549.725072748	0.000	23748.252	2.2085	23748.252	-73.89	yellowhammer
147	Spectrogram 1	1	549.797188132	551.789375620	0.000	23790.210	1.9922	23790.210	-76.18	common_whitethroat
148	Spectrogram 1	1	551.861491004	555.025553486	0.000	23874.126	3.1641	23874.126	-73.56	yellowhammer
149	Spectrogram 1	1	555.088965807	560.596778276	0.000	23748.252	5.5078	23748.252	-76.45	wren
150	Spectrogram 1	1	560.632835968	563.427307105	83.916	23790.210	2.7945	23706.294	-75.28	common_whitethroat
151	Spectrogram 1	1	563.463364797	568.867744500	0.000	23748.252	5.4044	23748.252	-74.18	yellowhammer
152	Spectrogram 1	1	568.903802192	570.688657951	0.000	23832.168	1.7849	23832.168	-75.32	yellowhammer_and_woodpigeon
153	Spectrogram 1	1	570.747484800	573.929576128	0.000	23748.252	3.1821	23748.252	-74.52	common_whitethroat_and_woodpigeon
154	Spectrogram 1	1	573.956619397	575.389912658	0.000	23748.252	1.4333	23748.252	-75.98	wren_and_woodpigeon
155	Spectrogram 1	1	575.416955927	577.228854955	83.916	23748.252	1.8119	23664.336	-74.19	yellowhammer_and_woodpigeon
156	Spectrogram 1	1	577.310139601	579.554730934	0.000	23748.252	2.2446	23748.252	-75.95	woodpigeon
157	Spectrogram 1	1	579.608817472	582.736822262	125.874	23748.252	3.1280	23622.378	-71.45	yellowhammer_and_common_whitethroat
158	Spectrogram 1	1	582.763865531	584.638865520	0.000	23748.252	1.8750	23748.252	-72.75	yellowhammer
159	Spectrogram 1	1	584.675234572	588.569465319	0.000	23790.210	3.8942	23790.210	-75.54	wren
160	Spectrogram 1	1	588.623551857	590.669825884	0.000	23748.252	2.0463	23748.252	-75.11	common_whitethroat
161	Spectrogram 1	1	590.723912422	592.779200872	0.000	23706.294	2.0553	23706.294	-70.59	common_whitethroat_and_yellowhammer
162	Spectrogram 1	1	592.788526655	594.339007415	335.664	23748.252	1.5505	23412.587	-76.02	background_noise
163	Spectrogram 1	1	594.366050684	597.412925666	0.000	23748.252	3.0469	23748.252	-71.40	yellowhammer
164	Spectrogram 1	1	597.439968936	601.712805449	0.000	23664.336	4.2728	23664.336	-71.58	yellowhammer_and_wren
165	Spectrogram 1	1	601.749174502	606.680063896	0.000	23832.168	4.9309	23832.168	-75.06	background_noise
166	Spectrogram 1	1	606.707107165	610.078501376	0.000	23664.336	3.3714	23664.336	-72.09	yellowhammer_and_common_whitethroat
167	Spectrogram 1	1	610.132899275	612.882298297	0.000	23790.210	2.7494	23790.210	-71.59	yellowhammer
168	Spectrogram 1	1	612.954413682	615.180976169	0.000	23832.168	2.2266	23832.168	-75.75	wren
169	Spectrogram 1	1	615.235062707	618.200807882	0.000	23706.294	2.9657	23706.294	-74.29	yellowhammer
170	Spectrogram 1	1	618.214562616	621.000019331	0.000	23748.252	2.7855	23748.252	-75.79	background_noise
171	Spectrogram 1	1	621.063120292	623.253625087	0.000	23706.294	2.1905	23706.294	-75.77	dunnock
172	Spectrogram 1	1	623.289682779	626.093168340	0.000	23622.378	2.8035	23622.378	-73.84	yellowhammer
173	Spectrogram 1	1	626.156580661	629.933623908	0.000	23706.294	3.7770	23706.294	-76.49	wren
174	Spectrogram 1	1	629.942638331	631.844681590	0.000	23790.210	1.9020	23790.210	-76.09	yellowhammer
175	Spectrogram 1	1	631.889753705	636.595282524	251.748	23664.336	4.7055	23412.587	-76.21	dunnock
176	Spectrogram 1	1	636.676722008	641.192947943	0.000	23664.336	4.5162	23664.336	-74.70	dunnock
177	Spectrogram 1	1	641.229005636	644.645471962	0.000	23832.168	3.4165	23832.168	-75.11	yellowhammer
178	Spectrogram 1	1	644.690853754	647.899988351	83.916	23916.084	3.2091	23832.168	-74.92	background_noise_and_dunnock
179	Spectrogram 1	1	647.954074889	652.091695058	125.874	23874.126	4.1376	23748.252	-76.37	dunnock_and_yellowhammer
180	Spectrogram 1	1	652.159536330	654.151723818	0.000	23832.168	1.9922	23832.168	-74.99	dunnock_and_woodpigeon
181	Spectrogram 1	1	654.232853625	655.648118040	0.000	23748.252	1.4153	23748.252	-73.73	yellowhammer_and_woodpigeon
182	Spectrogram 1	1	655.720233425	657.730449759	0.000	23748.252	2.0102	23748.252	-75.26	wren_and_woodpigeon
183	Spectrogram 1	1	657.798291031	659.781464097	125.874	23874.126	1.9832	23748.252	-74.53	woodpiegon
184	Spectrogram 1	1	659.844565058	664.649252530	0.000	23916.084	4.8047	23916.084	-73.99	blackcap_and_woodpigeon
185	Spectrogram 1	1	664.694324645	667.362593860	0.000	23916.084	2.6683	23916.084	-74.75	yellowhammer_and_woodpigeon
186	Spectrogram 1	1	667.426004499	673.222278504	0.000	23832.168	5.7963	23832.168	-75.92	blackcap_and_woodpigeon
187	Spectrogram 1	1	673.267503775	674.781926843	0.000	23832.168	1.5144	23832.168	-76.54	background_noise
188	Spectrogram 1	1	674.817984535	677.080604714	0.000	23748.252	2.2626	23748.252	-72.52	yellowhammer
189	Spectrogram 1	1	677.116817245	678.901673004	0.000	18839.161	1.7849	18839.161	-75.70	background_noise
190	Spectrogram 1	1	678.955759542	680.082562420	293.706	18503.497	1.1268	18209.790	-74.93	bluetit
191	Spectrogram 1	1	680.190735496	681.326552797	0.000	18461.538	1.1358	18461.538	-76.08	background_noise
192	Spectrogram 1	1	681.407682605	684.544701817	0.000	18251.748	3.1370	18251.748	-74.05	common_whitethroat
193	Spectrogram 1	1	684.693672896	688.155211338	125.874	18209.790	3.4615	18083.916	-73.94	woodpigeon_and_wren
194	Spectrogram 1	1	688.254368422	690.057253027	0.000	18000.000	1.8029	18000.000	-72.04	woodpigeon_and_yellowhammer
195	Spectrogram 1	1	690.102325142	693.230329931	0.000	17832.168	3.1280	17832.168	-72.70	common_whitethroat_and_woodpigeon
196	Spectrogram 1	1	693.298171204	694.551176004	0.000	17580.420	1.2530	17580.420	-74.32	woodpigeon
197	Spectrogram 1	1	694.632305811	698.382305790	461.538	17454.545	3.7500	16993.007	-75.07	wren
198	Spectrogram 1	1	698.454421174	699.797570204	83.916	17370.629	1.3431	17286.713	-72.49	common_whitethroat
199	Spectrogram 1	1	699.860671166	702.276536536	0.000	17286.713	2.4159	17286.713	-70.72	yellowhammer
200	Spectrogram 1	1	702.317491061	709.393813135	0.000	17118.881	7.0763	17118.881	-73.49	wren
201	Spectrogram 1	1	709.438885250	711.980952543	377.622	16573.427	2.5421	16195.804	-73.95	blackcap
202	Spectrogram 1	1	712.062082351	714.405832337	83.916	16279.720	2.3437	16195.804	-72.38	yellowhammer
203	Spectrogram 1	1	714.482842871	717.646905352	0.000	16363.636	3.1641	16363.636	-75.14	unknown_bird
204	Spectrogram 1	1	717.710006314	720.810967834	0.000	16531.469	3.1010	16531.469	-74.37	blackcap
205	Spectrogram 1	1	720.892097641	722.875270707	0.000	16237.762	1.9832	16237.762	-74.80	wren
206	Spectrogram 1	1	722.934097556	724.836140814	0.000	16027.972	1.9020	16027.972	-71.45	yellowhammer
207	Spectrogram 1	1	724.881212929	726.395635997	0.000	15944.056	1.5144	15944.056	-74.80	wren
